ilce,mahalle,mahalle_uavt,cok_agir_hasarli,agir_hasarli,orta_hasarli,hafif_hasarli,can_kaybi,agir_yarali,hastane_tedavi,hafif_yarali,dogalgaz_hasar,icme_suyu_hasar,atik_su_hasar,barinma_hane,agir_ve_ustu_hasarli,toplam_hasarli,bina_1980_oncesi,bina_1980_2000,bina_2000_sonrasi,bina_1_4_kat,bina_5_9_kat,bina_9_19_kat,toplam_bina,oran_1980_oncesi,oran_2000_oncesi,oran_yuksek_kat,dask_risk_sinifi
ADALAR,BURGAZADA,40139,54,99,256,241,8,6,24,42,0,0,1,398,153,650,433,214,173,802,18,0,820,0.528,0.789,0.022,1
ADALAR,HEYBELİADA,40142,101,175,423,393,25,21,66,113,1,1,2,763,276,1092,836,347,212,1359,36,0,1395,0.5993,0.848,0.0258,1
ADALAR,KINALIADA,40143,53,97,287,302,5,3,15,27,0,1,1,420,150,739,610,244,158,923,89,0,1012,0.6028,0.8439,0.0879,1
ADALAR,MADEN,40140,104,192,483,484,22,18,64,113,1,1,2,847,296,1263,863,510,308,1637,44,0,1681,0.5134,0.8168,0.0262,1
ADALAR,NİZAM,40141,101,180,445,422,16,13,48,83,1,2,2,687,281,1148,842,426,217,1434,51,0,1485,0.567,0.8539,0.0343,1
ARNAVUTKÖY,ADNAN MENDERES,40490,1,3,21,57,0,0,1,3,0,0,0,89,4,82,0,244,121,353,12,0,365,0,0.6685,0.0329,3
ARNAVUTKÖY,ANADOLU,99359,2,13,108,371,0,0,8,26,1,1,1,659,15,494,0,1360,845,1647,555,3,2205,0,0.6168,0.2531,3
ARNAVUTKÖY,ARNAVUTKÖY MERKEZ,40478,1,6,51,199,0,0,2,10,0,1,1,273,7,257,0,685,589,797,470,7,1274,0,0.5377,0.3744,3
ARNAVUTKÖY,ATATÜRK,40482,1,6,49,129,0,0,2,8,0,0,0,209,7,185,0,565,216,754,27,0,781,0,0.7234,0.0346,3
ARNAVUTKÖY,BAKLALI,191981,1,5,23,65,0,0,0,0,0,0,0,26,6,94,0,332,184,515,1,0,516,0,0.6434,0.0019,5
ARNAVUTKÖY,BALABAN,191983,0,1,7,25,0,0,0,0,0,0,0,7,1,33,0,242,53,295,0,0,295,0,0.8203,0.0,4
ARNAVUTKÖY,BOĞAZKÖY İSTİKLAL,40483,2,14,95,249,0,0,3,10,0,1,1,246,16,360,90,864,540,1452,42,0,1494,0.0602,0.6386,0.0281,3
ARNAVUTKÖY,BOLLUCA,40487,1,6,46,125,0,0,1,5,0,0,0,177,7,178,0,578,185,716,47,0,763,0,0.7575,0.0616,3
ARNAVUTKÖY,BOYALIK,191985,1,4,21,63,0,0,0,0,0,0,0,24,5,89,0,313,205,514,4,0,518,0,0.6042,0.0077,5
ARNAVUTKÖY,ÇİLİNGİR,40494,1,5,28,76,0,0,0,0,0,0,0,38,6,110,0,315,176,485,6,0,491,0,0.6415,0.0122,3
ARNAVUTKÖY,DELİKLİKAYA,40910,1,7,50,120,0,0,0,2,1,1,1,173,8,178,0,291,279,478,36,56,570,0,0.5105,0.1614,3
ARNAVUTKÖY,DURSUNKÖY,40911,1,5,18,45,0,0,0,1,0,0,0,22,6,69,0,204,72,276,0,0,276,0,0.7391,0.0,3
ARNAVUTKÖY,DURUSU,40915,0,2,10,30,0,0,0,0,0,0,0,16,2,42,0,208,43,251,0,0,251,0,0.8287,0.0,4
ARNAVUTKÖY,FATİH,40495,1,4,21,59,0,0,0,1,0,0,0,51,5,85,0,219,198,406,11,0,417,0,0.5252,0.0264,3
ARNAVUTKÖY,HACIMAŞLI,191975,0,3,16,41,0,0,0,0,0,0,0,20,3,60,1,137,107,244,1,0,245,0.0041,0.5633,0.0041,3
ARNAVUTKÖY,HADIMKÖY,40913,1,7,63,203,0,0,0,4,1,1,1,387,8,274,0,418,793,909,229,73,1211,0,0.3452,0.2494,3
ARNAVUTKÖY,HARAÇÇI,40489,2,12,82,230,0,0,0,4,1,1,1,209,14,326,0,813,622,1356,79,0,1435,0,0.5666,0.0551,3
ARNAVUTKÖY,HASTANE,40912,1,6,45,147,0,0,0,5,0,0,0,148,7,199,0,434,391,578,237,10,825,0,0.5261,0.2994,3
ARNAVUTKÖY,HİCRET,40486,0,3,24,61,0,0,0,2,0,0,0,91,3,88,0,221,113,323,11,0,334,0,0.6617,0.0329,3
ARNAVUTKÖY,İMRAHOR,40481,3,17,96,255,0,0,2,11,1,1,1,301,20,371,0,1141,471,1585,27,0,1612,0,0.7078,0.0167,3
ARNAVUTKÖY,İSLAMBEY,40479,2,11,88,268,0,0,4,18,1,0,1,395,13,369,0,1184,481,1452,204,9,1665,0,0.7111,0.1279,3
